First Name,Email ID,Quantity,Events,Attendee Status,College Name,Event_Source,Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family_Income(Lack),Expected salary (Lack),Leadership- skills
aniket,aniket@xyz.com,1,art of resume building,attending,d y patil institute of mca and management akurdi pune,email,students,2024,patna,6.7,7,7-8,6,yes
dhanshree,dhanshree@xyz.com,1,art of resume building,attending,ap shah institute of technology ,college,students,2024,amravati,8.2,3,0-2,7,no
dhiraj,dhiraj@xyz.com,1,art of resume building,attending,don bosco college of engineering fatorda goa,email,students,2023,kunrool,6.5,4,5-7,7,no
pooja,pooja@xyz.com,1,art of resume building,attending,pillai college of engineering new panvel,email,students,2025,tirupati,8.7,7,2-5,8,no
aayush,aayush@xyz.com,1,art of resume building,attending,st xavier's college ,instagram|linkedin|cloud counselage website,students,2024,vijaywada,9.1,3,0-2,10,yes
mrunali,mrunali@xyz.com,1,art of resume building,attending,"vidyalankar institute of technology, mumbai",whatsapp,students,2026,eluru,8.9,4,0-2,6,no
durga,durga@xyz.com,1,art of resume building,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",whatsapp,students,2024,guwahati,7.4,7,2-5,6,no
ruchit,ruchit@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2023,nagaon,7.3,4,0-2,7,no
mayuresh,mayuresh@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,college,students,2024,tezpur,8.6,4,0-2,7,no
rohit,rohit@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2024,sivasagar,9.2,3,0-2,8,no
nutan,nutan@xyz.com,1,art of resume building,attending,"vishwakarma institute of technology, pune",email,students,2024,burani,7.8,3,0-2,10,yes
yogesh,yogesh@xyz.com,1,art of resume building,attending,"kle society's college of bca, rls institute, belagavi",whatsapp,students,2023,dehri,7.9,5,0-2,6,yes
pranali,pranali@xyz.com,1,art of resume building,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2023,chapra,9.9,4,0-2,8,no
gaurang,gaurang@xyz.com,1,art of resume building,attending,st.francis institute of technology,linkedin,students,2024,darbhanga,8.1,5,0-2,11,no
saba,saba@xyz.com,1,art of resume building,attending,new horizon institute of technology and management ,whatsapp,students,2023,gaya,9.5,7,0-2,20,yes
apurva ,apurva@xyz.com,1,art of resume building,attending,late g. n. sapkal college of engineering,whatsapp,students,2024,haijipur,9.8,5,0-2,5,yes
tanmay,tanmay@xyz.com,1,art of resume building,attending,"mit academy of engineering ,alandi",cloud counselage website,students,2025,kaithar,9.6,5,0-2,9,no
sumit,sumit@xyz.com,1,art of resume building,attending,a. c. patil college of engineering,whatsapp,students,2025,motihari,6.2,5,0-2,5,no
shubham ,shubham@xyz.com,1,art of resume building,attending,wilson college ,college,students,2024,munger,9.1,7,0-2,21,yes
shreyas,shreyas@xyz.com,1,art of resume building,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2026,patna,7.2,5,0-2,9,no
shivani,shivani@xyz.com,1,art of resume building,attending,dkte society's textile and engineering institute ichalkaranji,college,students,2023,muzaffarpur,9.5,5,0-2,13,no
swapnil,swapnil@xyz.com,1,art of resume building,attending,"thakur institute of management studies, career development & research - [timscdr]",whatsapp,students,2025,sasaram,6.8,3,0-2,15,no
manasi ,manasi@xyz.com,1,art of resume building,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,instagram|whatsapp|email,students,2023,siwan,8.4,7,0-2,14,no
hemant ,hemant@xyz.com,1,art of resume building,attending,"vidyalankar institute of technology, mumbai",whatsapp,students,2025,ambikapur,6.6,3,2-5,5,yes
gaurav,gaurav@xyz.com,1,art of resume building,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,whatsapp,students,2024,bhilai,6.7,7,2-5,20,yes
harshal,harshal@xyz.com,1,art of resume building,attending,adhiyamaan college of engineering,whatsapp,students,2025,raipur,8.3,7,2-5,14,no
jitesh,jitesh@xyz.com,1,art of resume building,attending,don bosco college of engineering fatorda goa,youtube,students,2024,daman,6.3,7,2-5,16,yes
dhanshree,dhanshree@xyz.com,1,art of resume building,attending,pillai college of engineering new panvel,whatsapp,students,2025,diu,8.9,3,2-5,9,yes
ashish,ashish@xyz.com,1,art of resume building,attending,st xavier's college ,whatsapp,students,2024,silvassa,9.5,5,2-5,8,no
pooja,pooja@xyz.com,1,art of resume building,attending,"vidyalankar institute of technology, mumbai",whatsapp,students,2023,delhi,8.5,3,2-5,9,no
pooja ,pooja@xyz.com,1,art of resume building,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",whatsapp,students,2026,new delhi,8.5,3,2-5,7,no
shubham,shubham@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2023,panji,8.8,4,2-5,8,yes
prachi,prachi@xyz.com,1,art of resume building,attending,government polytechnic gandhinagar,whatsapp,students,2025,madgaon,7.9,7,0-2,6,no
priya,priya@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",instagram|whatsapp,students,2024,ahemdabad,7.5,4,0-2,8,no
ashwini ,ashwini@xyz.com,1,art of resume building,attending,"vishwakarma institute of technology, pune",youtube|whatsapp|email,students,2023,amreli,8.3,5,2-5,21,no
chetan,chetan@xyz.com,1,art of resume building,attending,"kle society's college of bca, rls institute, belagavi",whatsapp,students,2024,dwarka,6.4,3,5-7,5,no
aakanksha ,aakanksha@xyz.com,1,art of resume building,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2025,godhra,7.5,4,7-8,21,no
aishwarya,aishwarya@xyz.com,1,art of resume building,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2025,junagadh,9.9,3,0-2,9,yes
punam,punam@xyz.com,1,art of resume building,attending,"vishwakarma institute of technology, pune",whatsapp,students,2026,kheda,7.6,4,0-2,7,no
kanika ,kanika@xyz.com,1,art of resume building,attending,"kle society's college of bca, rls institute, belagavi",facebook,students,2024,morbi,7.9,7,0-2,5,no
laxmikant,laxmikant@xyz.com,1,art of resume building,attending,st.francis institute of technology,whatsapp,students,2025,navsari,7.4,7,5-7,19,yes
aayush,aayush@xyz.com,1,art of resume building,attending,"symbiosis institute of technology, pune",instagram|linkedin|cloud counselage website,students,2023,surat,8.7,7,0-2,5,no
mrunali,mrunali@xyz.com,1,art of resume building,attending,"mit academy of engineering ,alandi",whatsapp,students,2023,valsad,9.5,7,0-2,21,yes
durga,durga@xyz.com,1,art of resume building,attending,a. c. patil college of engineering,whatsapp,students,2026,ambala,6.9,3,0-2,9,no
ruchit,ruchit@xyz.com,1,art of resume building,attending,wilson college ,whatsapp,students,2024,chandigarh,9.2,5,0-2,9,no
